epoch,ACC,AUPR,AUROC,loss,lr,val_ACC,val_AUPR,val_AUROC,val_loss
0,0.4919608235359192,0.4919053912162781,0.4862605333328247,121.09281921386719,0.001,0.4981522560119629,0.49898871779441833,0.493767112493515,104.09022521972656
1,0.4980595111846924,0.4911936819553375,0.49446237087249756,90.35018157958984,0.001,0.4915003776550293,0.4926818609237671,0.49157437682151794,76.05223083496094
2,0.4975050687789917,0.5054716467857361,0.5041602253913879,64.5584945678711,0.001,0.4981522560119629,0.5000074505805969,0.4982245862483978,52.8932991027832
3,0.49990758299827576,0.48843663930892944,0.49255800247192383,43.764854431152344,0.001,0.4996304512023926,0.502163827419281,0.49235770106315613,34.650856018066406
4,0.49916836619377136,0.5034508109092712,0.5009915828704834,27.867982864379883,0.001,0.4996304512023926,0.5063029527664185,0.5001277923583984,21.29857635498047
5,0.5047126412391663,0.5062223076820374,0.511294960975647,16.77965545654297,0.001,0.49889135360717773,0.5083639621734619,0.49959030747413635,12.691192626953125
6,0.49879875779151917,0.5076858997344971,0.5049863457679749,10.324517250061035,0.001,0.4981522560119629,0.5144307017326355,0.5000491738319397,8.106898307800293
7,0.5010164380073547,0.5109268426895142,0.5052453279495239,6.485734939575195,0.001,0.4996304512023926,0.5266867876052856,0.51318359375,4.890731334686279
8,0.5002772212028503,0.5075438022613525,0.5052141547203064,3.752642869949341,0.001,0.5232815742492676,0.5271691083908081,0.5194044709205627,2.661550283432007
9,0.5159859657287598,0.5191432237625122,0.5217348337173462,1.944865107536316,0.001,0.5003695487976074,0.5103205442428589,0.5020648837089539,1.3210480213165283
10,0.5043430328369141,0.5143616199493408,0.5061470866203308,1.0164971351623535,0.001,0.5033259391784668,0.5175025463104248,0.5075963735580444,0.815609872341156
11,0.49898356199264526,0.5038765668869019,0.5065897107124329,0.8034451007843018,0.001,0.502586841583252,0.5224238634109497,0.5132218599319458,0.7893750071525574
12,0.5023100972175598,0.5142943859100342,0.5137503743171692,0.7927508354187012,0.001,0.5195860862731934,0.5396683812141418,0.5294733047485352,0.7854266166687012
13,0.5087783932685852,0.5067092180252075,0.5161517262458801,0.7915467023849487,0.001,0.5077605247497559,0.5372397899627686,0.5322548747062683,0.7855417728424072
14,0.5156163573265076,0.5271503329277039,0.5231448411941528,0.7893000841140747,0.001,0.5011086463928223,0.5376940965652466,0.5256155133247375,0.7890503406524658
15,0.5115505456924438,0.5139214396476746,0.516482949256897,0.7908400297164917,0.001,0.5121951103210449,0.5455107092857361,0.5303232669830322,0.7849479913711548
16,0.5100720524787903,0.5144921541213989,0.5124724507331848,0.7897372245788574,0.001,0.5121951103210449,0.5508987307548523,0.5339056253433228,0.7846001386642456
17,0.5196821093559265,0.528057873249054,0.5280953645706177,0.7865338325500488,0.001,0.5107169151306152,0.5474801659584045,0.5327552556991577,0.7852361798286438
18,0.5215302109718323,0.5170512199401855,0.5227693915367126,0.788648784160614,0.001,0.5129342079162598,0.545913577079773,0.5324536561965942,0.7857018113136292
19,0.5305858254432678,0.5374367237091064,0.5380765199661255,0.7846899032592773,0.001,0.521064281463623,0.5528321266174316,0.5355958342552185,0.7832180857658386
20,0.5272592902183533,0.5355446934700012,0.5361203551292419,0.7851144075393677,0.001,0.516629695892334,0.5589028596878052,0.5436543822288513,0.7839533090591431
21,0.5257807970046997,0.5371142625808716,0.5414202809333801,0.7843276858329773,0.001,0.5033259391784668,0.562099814414978,0.5463910698890686,0.7853313684463501
22,0.5302162170410156,0.5449676513671875,0.5462220311164856,0.7828738689422607,0.001,0.5277161598205566,0.5718963146209717,0.5563298463821411,0.7832447290420532
23,0.5483275055885315,0.5658357739448547,0.5691790580749512,0.7786598801612854,0.001,0.5351071953773499,0.5772028565406799,0.558624267578125,0.7820816040039062
24,0.5283681154251099,0.5432745814323425,0.54105544090271,0.7838308215141296,0.001,0.526237964630127,0.5742494463920593,0.5541186332702637,0.7813961505889893
25,0.5400111079216003,0.5601404309272766,0.5606557726860046,0.7799457907676697,0.001,0.5336290001869202,0.5793930292129517,0.556010901927948,0.7814417481422424
26,0.5475882291793823,0.5633220672607422,0.561151385307312,0.7798216342926025,0.001,0.5314117074012756,0.5823728442192078,0.5621236562728882,0.7812241911888123
27,0.536684513092041,0.5696147680282593,0.5659930109977722,0.7784423828125,0.001,0.5424981713294983,0.5866429805755615,0.567244291305542,0.7802057862281799
28,0.54463130235672,0.5697889924049377,0.5646565556526184,0.7786370515823364,0.001,0.5521064400672913,0.5891993641853333,0.5698073506355286,0.7785986661911011
29,0.563666582107544,0.5958595275878906,0.5898900628089905,0.7725203037261963,0.001,0.5461936593055725,0.58968186378479,0.5686897039413452,0.7792000770568848
30,0.5570135116577148,0.5890631675720215,0.5817819833755493,0.7740379571914673,0.001,0.5395417809486389,0.5951099395751953,0.571744441986084,0.7778795957565308
31,0.5645906329154968,0.5994522571563721,0.590798020362854,0.7716779112815857,0.001,0.5521064400672913,0.5979782938957214,0.5712702870368958,0.7779247760772705
32,0.5474034547805786,0.5929970741271973,0.5842651128768921,0.7721561789512634,0.001,0.5521064400672913,0.5993072390556335,0.5732150077819824,0.7765653133392334
33,0.5675475597381592,0.6053270697593689,0.5949216485023499,0.7697392702102661,0.001,0.5558019280433655,0.6060062050819397,0.5798412561416626,0.7751284241676331
34,0.563112199306488,0.6117594242095947,0.5962409973144531,0.7681076526641846,0.001,0.5491500496864319,0.6086944341659546,0.5805251598358154,0.7741742730140686
35,0.5601552128791809,0.6077084541320801,0.5943546295166016,0.7693526744842529,0.001,0.5476718544960022,0.6105138063430786,0.5838813781738281,0.7734545469284058
36,0.5690260529518127,0.6236189007759094,0.6079330444335938,0.765297532081604,0.001,0.5565410256385803,0.61322420835495,0.584628701210022,0.7726055383682251
37,0.5882461667060852,0.6404942870140076,0.6292399168014526,0.758085310459137,0.001,0.553584635257721,0.6184806227684021,0.5875141024589539,0.771380603313446
38,0.5808538198471069,0.6448020935058594,0.6223180294036865,0.7574469447135925,0.001,0.5587583184242249,0.6169977784156799,0.5852066874504089,0.7716204524040222
39,0.5875069499015808,0.6485649347305298,0.6287216544151306,0.7555075883865356,0.001,0.5565410256385803,0.6217019557952881,0.5894293189048767,0.769161581993103
40,0.595823347568512,0.6523337960243225,0.6407616138458252,0.7527058720588684,0.001,0.5594974160194397,0.624860405921936,0.5928008556365967,0.7676529884338379
41,0.6000739336013794,0.6576005816459656,0.6396875381469727,0.7509626746177673,0.001,0.5617147088050842,0.6267940998077393,0.5962303280830383,0.7658759951591492
42,0.6072814464569092,0.6685082912445068,0.6493199467658997,0.7472013831138611,0.001,0.5602365136146545,0.6297913789749146,0.5985170006752014,0.7648106813430786
43,0.599334716796875,0.664398729801178,0.6505991220474243,0.746272087097168,0.001,0.553584635257721,0.6288931965827942,0.5972703695297241,0.7648472785949707
44,0.5995194911956787,0.669548749923706,0.649580180644989,0.7461660504341125,0.001,0.55801922082901,0.6320638656616211,0.5988283157348633,0.7633289694786072
45,0.6170763373374939,0.6835090517997742,0.6617542505264282,0.7402213215827942,0.001,0.5705838799476624,0.6332622170448303,0.6006572842597961,0.7612823247909546
46,0.6107928156852722,0.6866574883460999,0.663264274597168,0.738274872303009,0.001,0.5661492943763733,0.6330541372299194,0.6017585396766663,0.7617479562759399
47,0.6139345765113831,0.684866726398468,0.665686309337616,0.7373948693275452,0.001,0.5639320015907288,0.6360335350036621,0.6040408611297607,0.760923445224762
48,0.6189244389533997,0.6908745765686035,0.6689336895942688,0.7349382042884827,0.001,0.5683665871620178,0.6355413198471069,0.6024315357208252,0.7607601284980774
49,0.6159674525260925,0.6907027959823608,0.6713324189186096,0.734548807144165,0.001,0.5698447823524475,0.6359121203422546,0.6025878190994263,0.759766697883606
