epoch,ACC,AUPR,AUROC,loss,lr,val_ACC,val_AUPR,val_AUROC,val_loss
0,0.5061099529266357,0.4952583909034729,0.5023311972618103,109.35930633544922,0.001,0.5081300735473633,0.5115711688995361,0.501354992389679,81.09062194824219
1,0.5254582762718201,0.5374312400817871,0.5384953618049622,64.58458709716797,0.001,0.5040650367736816,0.5137810111045837,0.48337629437446594,44.28314971923828
2,0.5040733218193054,0.49904578924179077,0.5036668181419373,33.18916702270508,0.001,0.5162601470947266,0.5265235900878906,0.5493423342704773,20.37110137939453
3,0.5122199654579163,0.5065831542015076,0.5229528546333313,14.607464790344238,0.001,0.5,0.5116111040115356,0.49996694922447205,9.115484237670898
4,0.505091667175293,0.5302045941352844,0.5218764543533325,8.301361083984375,0.001,0.4918699264526367,0.47422441840171814,0.46430695056915283,7.350208759307861
5,0.5010183453559875,0.4951385259628296,0.5025343894958496,5.8198089599609375,0.001,0.4878048896789551,0.4903973937034607,0.4888955354690552,3.9112672805786133
6,0.5152749419212341,0.5511307716369629,0.5269287824630737,3.583308219909668,0.001,0.5,0.5048884749412537,0.5053209066390991,2.970973014831543
7,0.523421585559845,0.5247964262962341,0.5359319448471069,2.5949904918670654,0.001,0.4796747863292694,0.48729926347732544,0.4810628890991211,2.2794227600097656
8,0.5305498838424683,0.5552282333374023,0.5535110235214233,2.085845708847046,0.001,0.49593496322631836,0.5033618211746216,0.4974221885204315,1.9298051595687866
9,0.5519348382949829,0.5624399185180664,0.5742965936660767,1.8374119997024536,0.001,0.5121951103210449,0.5198507308959961,0.5116001963615417,1.7415851354599
10,0.5580447912216187,0.5694838762283325,0.5834885835647583,1.7041196823120117,0.001,0.5325203537940979,0.5289958119392395,0.5278604030609131,1.6772881746292114
11,0.567209780216217,0.5939612984657288,0.5819060802459717,1.647918939590454,0.001,0.5609756112098694,0.5363097786903381,0.5460704565048218,1.6284804344177246
12,0.5397148728370667,0.5782492160797119,0.562644898891449,1.6199756860733032,0.001,0.5040650367736816,0.5391602516174316,0.548251748085022,1.6110132932662964
13,0.567209780216217,0.5793416500091553,0.5867820382118225,1.5954514741897583,0.001,0.5406504273414612,0.5337130427360535,0.5426333546638489,1.5901886224746704
14,0.5366598963737488,0.5606574416160583,0.5677366256713867,1.5838220119476318,0.001,0.5406504273414612,0.5417266488075256,0.5625289082527161,1.581600546836853
15,0.5610997676849365,0.569744348526001,0.5836399793624878,1.5752081871032715,0.001,0.5406504273414612,0.5395263433456421,0.569998025894165,1.5785175561904907
16,0.5947046875953674,0.6330499649047852,0.6390009522438049,1.5615346431732178,0.001,0.5528455376625061,0.535348653793335,0.5642144680023193,1.5689259767532349
17,0.5865580439567566,0.6112030148506165,0.6191840171813965,1.556469202041626,0.001,0.5691056847572327,0.5466111898422241,0.5782603025436401,1.5642821788787842
18,0.5763747692108154,0.6002581715583801,0.627069354057312,1.5547773838043213,0.001,0.5731707215309143,0.5547759532928467,0.5918765068054199,1.5642656087875366
19,0.6099796295166016,0.6379082798957825,0.6547425985336304,1.5498017072677612,0.001,0.5528455376625061,0.5534861087799072,0.5851345062255859,1.5594996213912964
20,0.6252545714378357,0.6494782567024231,0.6667302846908569,1.5453341007232666,0.001,0.577235758304596,0.5642838478088379,0.5929011106491089,1.561190128326416
21,0.608961284160614,0.6412864923477173,0.6483401656150818,1.5448589324951172,0.001,0.565040647983551,0.5643129944801331,0.6021878123283386,1.5593502521514893
22,0.6028513312339783,0.6566956043243408,0.6429228782653809,1.5424941778182983,0.001,0.5487805008888245,0.5652933716773987,0.600436270236969,1.5554276704788208
23,0.6283095479011536,0.6919167041778564,0.688704252243042,1.5375958681106567,0.001,0.5731707215309143,0.5680215954780579,0.6002379655838013,1.5646533966064453
24,0.639511227607727,0.6788057088851929,0.6899859309196472,1.53870689868927,0.001,0.5569105744361877,0.5549861192703247,0.5988168716430664,1.5601327419281006
25,0.6313645839691162,0.6745722889900208,0.6763929724693298,1.53665030002594,0.001,0.5528455376625061,0.5518706440925598,0.5914138555526733,1.5620288848876953
26,0.6517311334609985,0.7286331057548523,0.7186692357063293,1.5313485860824585,0.001,0.5569105744361877,0.5452574491500854,0.5835151076316833,1.5653969049453735
27,0.6883910298347473,0.7413251996040344,0.7494078874588013,1.5261995792388916,0.001,0.5609756112098694,0.5537692904472351,0.5872496366500854,1.5664328336715698
28,0.6456211805343628,0.7080011963844299,0.7080835700035095,1.5326294898986816,0.001,0.5528455376625061,0.5478773713111877,0.5846056938171387,1.5728625059127808
29,0.6588594913482666,0.715247631072998,0.7250321507453918,1.532781720161438,0.001,0.565040647983551,0.5425683856010437,0.577235758304596,1.584080696105957
30,0.6741344332695007,0.7174621224403381,0.7367316484451294,1.5379142761230469,0.001,0.5691056847572327,0.5383622646331787,0.5686760544776917,1.5878818035125732
31,0.6822810769081116,0.762658417224884,0.7610554099082947,1.5288349390029907,0.001,0.5853658318519592,0.5426074862480164,0.5736003518104553,1.5896010398864746
32,0.6924643516540527,0.757317304611206,0.7666303515434265,1.525235891342163,0.001,0.5731707215309143,0.5439711213111877,0.579251766204834,1.5918854475021362
33,0.6843177080154419,0.7455735206604004,0.7596451044082642,1.5260785818099976,0.001,0.5447154641151428,0.5478845238685608,0.5838456153869629,1.5955837965011597
34,0.7250509262084961,0.809253454208374,0.8140417337417603,1.2305006980895996,0.000100000005,0.5528455376625061,0.5492357611656189,0.585795521736145,1.0115376710891724
35,0.7260692715644836,0.7896126508712769,0.8007474541664124,0.9249795079231262,0.000100000005,0.565040647983551,0.5504848957061768,0.5867208242416382,0.9361283183097839
36,0.704684317111969,0.7913126945495605,0.7990447878837585,0.8104815483093262,0.000100000005,0.5813007950782776,0.5478919148445129,0.5858285427093506,0.8587872385978699
37,0.7057026624679565,0.7874848246574402,0.7885980010032654,0.7556623220443726,0.000100000005,0.5813007950782776,0.5489411950111389,0.5852667093276978,0.8154351711273193
38,0.7525458335876465,0.814177393913269,0.8122830390930176,0.7174450159072876,0.000100000005,0.577235758304596,0.549042820930481,0.5869191288948059,0.7946313619613647
39,0.7107942700386047,0.7901995182037354,0.7993453741073608,0.7049705386161804,0.000100000005,0.5731707215309143,0.5462475419044495,0.5837464332580566,0.7860661745071411
40,0.7026476860046387,0.7788794040679932,0.7861299514770508,0.7043067216873169,0.000100000005,0.577235758304596,0.546279788017273,0.583911657333374,0.781384289264679
41,0.7067209482192993,0.7821832299232483,0.7821002006530762,0.6993151307106018,0.000100000005,0.577235758304596,0.5467247366905212,0.5841430425643921,0.7790155410766602
42,0.6924643516540527,0.7647087574005127,0.7678581476211548,0.704251766204834,0.000100000005,0.5813007950782776,0.5456371307373047,0.5833829641342163,0.7775968313217163
43,0.704684317111969,0.7896164059638977,0.7914808988571167,0.690276026725769,0.000100000005,0.5853658318519592,0.5464900135993958,0.583779513835907,0.7775202989578247
