epoch,ACC,AUPR,AUROC,loss,lr,val_ACC,val_AUPR,val_AUROC,val_loss
0,0.5116920471191406,0.5186219811439514,0.5170966386795044,146.8411102294922,1e-04,0.5270413756370544,0.5824179649353027,0.5831376910209656,93.415283203125
1,0.565830647945404,0.5881339907646179,0.5957055687904358,56.02396011352539,1e-04,0.6402969360351562,0.701533317565918,0.6959878206253052,25.059864044189453
2,0.6439365744590759,0.6963210105895996,0.700943648815155,9.572259902954102,1e-04,0.5753976702690125,0.7287411689758301,0.7274510264396667,1.2249177694320679
3,0.6812132000923157,0.7396019101142883,0.7429279088973999,0.8146398067474365,1e-04,0.634782612323761,0.759533166885376,0.7568925023078918,0.8749289512634277
4,0.7145129442214966,0.7901630401611328,0.786923348903656,0.7411589026451111,1e-04,0.6252385973930359,0.7809109091758728,0.7702670097351074,1.0390456914901733
5,0.7553423047065735,0.837162435054779,0.8292497992515564,0.6854611039161682,1e-04,0.7030752897262573,0.8194438815116882,0.8054420351982117,0.7666823267936707
6,0.7837107181549072,0.8715468645095825,0.8574438095092773,0.6380208730697632,1e-04,0.7459172606468201,0.8408762216567993,0.8232396841049194,0.6703560948371887
7,0.8069356679916382,0.8959965109825134,0.8818254470825195,0.5891671776771545,1e-04,0.747826099395752,0.8518878817558289,0.8339446783065796,0.6829776167869568
8,0.817858874797821,0.9064327478408813,0.8927170634269714,0.5664195418357849,1e-04,0.7490985989570618,0.8584184646606445,0.8402379155158997,0.7101449370384216
9,0.8246460556983948,0.9130645990371704,0.8991600871086121,0.5550766587257385,1e-04,0.7285259962081909,0.8591886758804321,0.8427228927612305,0.7073125243186951
10,0.8300015926361084,0.9181450605392456,0.9065873622894287,0.536864161491394,1e-04,0.7433722019195557,0.8549818396568298,0.8415747284889221,0.7078580856323242
11,0.8377432823181152,0.9220343232154846,0.9110905528068542,0.5284646153450012,1e-04,0.7389183640480042,0.8694367408752441,0.8527119159698486,0.7291211485862732
12,0.8400233387947083,0.9259069561958313,0.9153282046318054,0.517890214920044,1e-04,0.7145280838012695,0.8663028478622437,0.8537203073501587,0.7470834255218506
13,0.8443713784217834,0.9276254177093506,0.9169809818267822,0.5115533471107483,1e-04,0.7669141292572021,0.8679634928703308,0.8532822132110596,0.655619204044342
14,0.8479240536689758,0.930898904800415,0.9202523827552795,0.5033198595046997,1e-04,0.7510074377059937,0.873820424079895,0.8577631711959839,0.7247599363327026
15,0.8526962995529175,0.9337936043739319,0.9243448376655579,0.4963868260383606,1e-04,0.7340403199195862,0.8705002069473267,0.854865312576294,0.7619900703430176
16,0.850893497467041,0.9344017505645752,0.9257206320762634,0.4950876235961914,1e-04,0.7206786870956421,0.8691946864128113,0.8536382913589478,0.881939709186554
17,0.8552415370941162,0.9356244802474976,0.9269733428955078,0.49144840240478516,1e-04,0.7474018931388855,0.8724634647369385,0.8574574589729309,0.6631247997283936
18,0.8570973873138428,0.9359685182571411,0.9292802810668945,0.4860903024673462,1e-04,0.77582186460495,0.8734304904937744,0.8580039739608765,0.6472078561782837
19,0.8580518364906311,0.9384267330169678,0.9308514595031738,0.4833935797214508,1e-04,0.731495201587677,0.8688791394233704,0.8600062131881714,0.7598620653152466
20,0.8602789044380188,0.9386885166168213,0.9327890276908875,0.47808268666267395,1e-04,0.7425238490104675,0.8741482496261597,0.8570375442504883,0.7968570590019226
21,0.8618696928024292,0.9409500360488892,0.9340522885322571,0.47882744669914246,1e-04,0.6861081719398499,0.8753691911697388,0.8629403114318848,0.7931382060050964
22,0.8631422519683838,0.941860556602478,0.9355993270874023,0.47504833340644836,1e-04,0.7302227020263672,0.8777472972869873,0.8627203702926636,0.7849648594856262
23,0.8621878027915955,0.9413554668426514,0.9350072145462036,0.475009024143219,1e-04,0.7367974519729614,0.8749693632125854,0.861663818359375,0.7080519199371338
24,0.8651041984558105,0.9427722692489624,0.9372901916503906,0.47152945399284363,1e-04,0.7743372321128845,0.8784232139587402,0.8638500571250916,0.6345207095146179
