epoch,ACC,AUPR,AUROC,loss,lr,val_ACC,val_AUPR,val_AUROC,val_loss
0,0.7981722354888916,0.8932139873504639,0.8790063858032227,0.4354051649570465,0.001,0.9004524946212769,0.9616764783859253,0.9608001112937927,0.28393176198005676
1,0.8984317779541016,0.9527438879013062,0.948170006275177,0.2836695909500122,0.001,0.9103007912635803,0.965397834777832,0.9654373526573181,0.2532426118850708
2,0.9131379723548889,0.962310791015625,0.9585832357406616,0.24943672120571136,0.001,0.918019711971283,0.9687471389770508,0.9690420627593994,0.23438993096351624
3,0.9198367595672607,0.9662901163101196,0.9625601768493652,0.23379109799861908,0.001,0.9125188589096069,0.9660260677337646,0.9658401012420654,0.24905814230442047
4,0.9251824617385864,0.970247209072113,0.9661867022514343,0.22024938464164734,0.001,0.9146482348442078,0.9670045971870422,0.9678995013237,0.24496905505657196
5,0.9280881881713867,0.972072422504425,0.9686015248298645,0.21250459551811218,0.001,0.9177535176277161,0.9664709568023682,0.9673574566841125,0.2424527406692505
6,0.9309939742088318,0.974777102470398,0.9707945585250854,0.2043246030807495,0.001,0.9192618131637573,0.9681299328804016,0.9685490131378174,0.23733282089233398
7,0.9317702651023865,0.9748971462249756,0.9710660576820374,0.20304693281650543,0.001,0.9166001081466675,0.9669758081436157,0.967438817024231,0.253937304019928
8,0.9354302287101746,0.9769042730331421,0.973486602306366,0.1939181685447693,0.001,0.917487382888794,0.9673827886581421,0.9670453667640686,0.24304097890853882
9,0.9419958591461182,0.9793325662612915,0.9774799346923828,0.178677499294281,0.001,0.9178422689437866,0.9667574763298035,0.9676536321640015,0.2532554566860199
10,0.9435707330703735,0.9809268116950989,0.9790078401565552,0.17354115843772888,0.001,0.9144707918167114,0.9665554165840149,0.9662442803382874,0.2547336518764496
11,0.9451456069946289,0.9821648001670837,0.9802213311195374,0.1684146225452423,0.001,0.9152692556381226,0.9672113656997681,0.9677330851554871,0.25021183490753174
12,0.9462103247642517,0.9828633666038513,0.980614423751831,0.16487351059913635,0.001,0.9167775511741638,0.9648337364196777,0.966446578502655,0.2541911005973816
13,0.9501142501831055,0.9841018915176392,0.9819830656051636,0.157120481133461,0.000100000005,0.9139384031295776,0.9665908217430115,0.9672253131866455,0.25709813833236694
14,0.9532195925712585,0.9860032796859741,0.9839338660240173,0.14833678305149078,0.000100000005,0.9136722683906555,0.967232346534729,0.967479407787323,0.25249195098876953
15,0.953352689743042,0.9856234788894653,0.9833943247795105,0.1494257003068924,0.000100000005,0.9120752215385437,0.9673011302947998,0.9672284722328186,0.2549504339694977
16,0.9555708169937134,0.9861375093460083,0.9839078187942505,0.14540503919124603,0.000100000005,0.9150918126106262,0.966891884803772,0.9671404361724854,0.25090518593788147
17,0.9564359188079834,0.9868093729019165,0.9851427674293518,0.1417219042778015,0.000100000005,0.9127850532531738,0.9670520424842834,0.9670542478561401,0.2547929883003235
18,0.9571456909179688,0.987575888633728,0.9856343865394592,0.1383938044309616,0.000100000005,0.9116316437721252,0.967014491558075,0.9670071005821228,0.2550601363182068
19,0.9568573236465454,0.9870838522911072,0.9853594303131104,0.1404770463705063,0.000100000005,0.9160677790641785,0.9671568870544434,0.9673683643341064,0.2482929676771164
20,0.956413745880127,0.9871300458908081,0.9853683710098267,0.14049415290355682,0.000100000005,0.9112766981124878,0.966228723526001,0.9661760926246643,0.2578575611114502
21,0.9565246105194092,0.9874439239501953,0.9854893684387207,0.13964396715164185,0.000100000005,0.9144707918167114,0.9665125012397766,0.9663824439048767,0.2525917887687683
22,0.9582547545433044,0.9881548881530762,0.9864270687103271,0.1354902982711792,0.000100000005,0.9140271544456482,0.9665590524673462,0.9666780829429626,0.2487993985414505
