epoch,ACC,AUPR,AUROC,loss,lr,val_ACC,val_AUPR,val_AUROC,val_loss
0,0.5014846324920654,0.49810877442359924,0.5012590885162354,79.77143096923828,0.001,0.5095357894897461,0.5095095038414001,0.5099330544471741,34.61204528808594
1,0.4982004761695862,0.49715742468833923,0.4960126578807831,15.47884750366211,0.001,0.4989204704761505,0.5044476389884949,0.5065223574638367,5.115562438964844
2,0.5033740997314453,0.5040744543075562,0.505858302116394,1.9202662706375122,0.001,0.4998200833797455,0.5155637860298157,0.5184799432754517,0.7924866080284119
3,0.5080978870391846,0.5100767016410828,0.513225793838501,0.7908063530921936,0.001,0.505037784576416,0.527082085609436,0.5281405448913574,0.786892831325531
4,0.5187601447105408,0.5209843516349792,0.5249248743057251,0.786845326423645,0.001,0.5304065942764282,0.5443768501281738,0.5472861528396606,0.7824567556381226
5,0.5262731909751892,0.5337281227111816,0.5350939631462097,0.7847522497177124,0.001,0.5415617227554321,0.5540297031402588,0.5608489513397217,0.7816582322120667
6,0.5434136986732483,0.5615634322166443,0.5643031001091003,0.7791755199432373,0.001,0.5500180125236511,0.5774429440498352,0.5857831239700317,0.7784496545791626
7,0.5636134743690491,0.5936828255653381,0.5946571826934814,0.7716283202171326,0.001,0.5665706992149353,0.6042577624320984,0.60784512758255,0.7722979784011841
8,0.5847129821777344,0.6332194209098816,0.6220774054527283,0.7598990797996521,0.001,0.5917596220970154,0.6312371492385864,0.6339359879493713,0.7640368938446045
9,0.6059024930000305,0.6678649187088013,0.6533789038658142,0.7459152936935425,0.001,0.6052536964416504,0.6550105214118958,0.6553896069526672,0.7538561820983887
10,0.6284865736961365,0.6991479396820068,0.6809870600700378,0.7300216555595398,0.001,0.5948182940483093,0.674078106880188,0.6723513603210449,0.7510015368461609
11,0.6481465101242065,0.7246257066726685,0.7013346552848816,0.7154805064201355,0.001,0.6246851682662964,0.6901609301567078,0.6871184706687927,0.7370914816856384
12,0.6631726026535034,0.7422763109207153,0.7250933051109314,0.7016111612319946,0.001,0.6245052218437195,0.7060969471931458,0.6987303495407104,0.7376736402511597
13,0.6790534257888794,0.7646779417991638,0.7430490255355835,0.6864641308784485,0.001,0.6379992961883545,0.7163099646568298,0.7051997184753418,0.729241132736206
14,0.6916052103042603,0.7826535105705261,0.7589285373687744,0.6709886789321899,0.001,0.6495141983032227,0.7273442149162292,0.7128913402557373,0.7189508080482483
15,0.7009177803993225,0.7913633584976196,0.7706639170646667,0.6631338596343994,0.001,0.6435768008232117,0.7308972477912903,0.7136293649673462,0.7196753621101379
16,0.7118949294090271,0.8030331134796143,0.7806638479232788,0.6523416638374329,0.001,0.6525728702545166,0.7382735013961792,0.720622181892395,0.7131298184394836
17,0.71598881483078,0.8106125593185425,0.7885342240333557,0.6441588401794434,0.001,0.6469953060150146,0.7421526908874512,0.7225711941719055,0.7184823751449585
18,0.7248965501785278,0.8145837783813477,0.7935394048690796,0.6399844288825989,0.001,0.6439366936683655,0.7434711456298828,0.7240585088729858,0.7162952423095703
19,0.732184648513794,0.8241737484931946,0.8034991025924683,0.629210889339447,0.001,0.6513134241104126,0.7494238018989563,0.7293028831481934,0.7131125330924988
20,0.7368634343147278,0.8249001502990723,0.8070040941238403,0.6278226971626282,0.001,0.6595897674560547,0.7526346445083618,0.7314647436141968,0.7092458009719849
21,0.7369983792304993,0.8287631273269653,0.8093244433403015,0.623275876045227,0.001,0.6608492136001587,0.7551016211509705,0.7344449162483215,0.7072078585624695
22,0.7380331158638,0.8303265571594238,0.8107326626777649,0.6216825246810913,0.001,0.6595897674560547,0.7558240294456482,0.734978199005127,0.7101104855537415
23,0.7462210059165955,0.8355526924133301,0.8172404766082764,0.6151201128959656,0.001,0.6599496006965637,0.7578719258308411,0.7357627153396606,0.710245668888092
24,0.7473456859588623,0.8356239795684814,0.8172630667686462,0.6149064302444458,0.001,0.6583303213119507,0.761634349822998,0.7399960160255432,0.7195180654525757
25,0.7484254240989685,0.8415305614471436,0.8231024146080017,0.6080050468444824,0.001,0.6678661108016968,0.7623400092124939,0.7416039705276489,0.7047902941703796
26,0.7519344687461853,0.8406203389167786,0.8226368427276611,0.6086901426315308,0.001,0.6721842288970947,0.7636763453483582,0.7425132989883423,0.698194146156311
27,0.7563433647155762,0.8438014984130859,0.8257432579994202,0.6042274832725525,0.001,0.6768621802330017,0.7657133936882019,0.7443270683288574,0.7037767171859741
28,0.7610671520233154,0.85099196434021,0.8320004940032959,0.5953655242919922,0.001,0.6676862239837646,0.7672834396362305,0.7456248998641968,0.7133982181549072
29,0.7553985714912415,0.8469326496124268,0.8273941278457642,0.6011052131652832,0.001,0.6768621802330017,0.7711885571479797,0.7489049434661865,0.704552173614502
30,0.7597624659538269,0.8504693508148193,0.8333199620246887,0.5954091548919678,0.001,0.6759625673294067,0.7729433178901672,0.7505205273628235,0.707712709903717
31,0.759852409362793,0.8507401347160339,0.8315755724906921,0.5957618951797485,0.001,0.6795610189437866,0.7728373408317566,0.7498912215232849,0.6966037750244141
32,0.7601673603057861,0.8509986400604248,0.8330883979797363,0.5943422913551331,0.001,0.6784814596176147,0.7769550085067749,0.7539235949516296,0.700564444065094
33,0.7625067234039307,0.8522495031356812,0.8335999846458435,0.5932148694992065,0.001,0.6756027340888977,0.7775579690933228,0.7542219758033752,0.7073763608932495
34,0.7610671520233154,0.8539800643920898,0.8354262113571167,0.5912906527519226,0.001,0.6743432879447937,0.7804436683654785,0.756468653678894,0.7085833549499512
35,0.7611570954322815,0.8534755110740662,0.8366177678108215,0.591465175151825,0.001,0.6754227876663208,0.7821024656295776,0.7580274939537048,0.7129857540130615
36,0.7630016207695007,0.8546484708786011,0.8348878026008606,0.5903812646865845,0.001,0.6793810725212097,0.7801167368888855,0.7564162015914917,0.7037708163261414
37,0.7656559348106384,0.8579277992248535,0.8401488661766052,0.5859536528587341,0.001,0.6691255569458008,0.7782639861106873,0.7552374005317688,0.7191357612609863
38,0.7666906714439392,0.8561794757843018,0.8382426500320435,0.5867894291877747,0.001,0.6754227876663208,0.7821612358093262,0.7575610876083374,0.7090153098106384
39,0.7679053544998169,0.8588067293167114,0.8391992449760437,0.5850445628166199,0.001,0.6745232343673706,0.7809953093528748,0.7559018135070801,0.7124887704849243
40,0.7652510404586792,0.8586616516113281,0.8398119211196899,0.5846558213233948,0.001,0.6752429008483887,0.781277060508728,0.7579227089881897,0.7081036567687988
41,0.7646211981773376,0.8581486940383911,0.8383032083511353,0.5853868126869202,0.001,0.6720043420791626,0.7796410918235779,0.7561151385307312,0.7148992419242859
42,0.7672755122184753,0.8580928444862366,0.8392072319984436,0.5855358839035034,0.001,0.6696653366088867,0.7826727032661438,0.7596405148506165,0.7175259590148926
43,0.7683102488517761,0.8614352941513062,0.8433107137680054,0.5809386968612671,0.001,0.6799208521842957,0.7806123495101929,0.7575142979621887,0.7027246356010437
44,0.7670955657958984,0.8596583008766174,0.8410319089889526,0.5831766724586487,0.001,0.6863979697227478,0.7844796180725098,0.7602078318595886,0.6996104717254639
45,0.7653409838676453,0.8569877743721008,0.8394924998283386,0.5860051512718201,0.001,0.6750629544258118,0.7838062047958374,0.7597787380218506,0.7151018977165222
46,0.7667806148529053,0.8610157370567322,0.8422448635101318,0.5814400911331177,0.001,0.6790212392807007,0.7821733355522156,0.7584307789802551,0.7146480083465576
47,0.7667806148529053,0.861334502696991,0.8423911333084106,0.5805866122245789,0.001,0.6790212392807007,0.7811612486839294,0.7576187252998352,0.7115086913108826
48,0.769434928894043,0.8621132373809814,0.8435957431793213,0.580848753452301,0.001,0.6804605722427368,0.784012496471405,0.7594555616378784,0.7094002366065979
49,0.7715044021606445,0.8650394082069397,0.8461302518844604,0.5761910080909729,0.001,0.6682260036468506,0.7849606871604919,0.7613186836242676,0.7236343622207642
